Question	Answer
Do you have a family?	We have 3 kids.
Was the travel tiring?	I'm feeling pretty energetic.
Are you reading anything right now?	Currently reading a biography on Tolkien.
Can you deal with the commute?	I don't mind it at all.
Have you traveled very much?	I've been all around the world.
Do you like to eat healthy food?	I sleep better when I eat well.
Did you ever get to learn to play the banjo like you wanted to when you were young ?	I took lessons and am now a master player.
Are you heading out on the town?	We don't have plans.
Do you enjoy outdoor activities?	As long as I can stay cool.
Did you have a good workday?	It was really stressful.
Do you have an interest in movies?	I'd rather go to a concert.
Do you enjoy festivals?	When the lineup is good.
Do you feel like having a warm meal?	I'd rather have something cool and refreshing.
Are mysteries something you are interested in?	Not as much as travel stories.
Are you a fan of mountain climbing?	I've never tried it.
Did your week go well?	My week was uneventful.
Does it have a view?	It looks onto a dump.
Is your boss nice?	My boss is easygoing.
Are you craving any specific flavors?	I often order tangy foods.
Are you interested in historical novels?	I prefer fiction.
Will you be working tomorrow?	I will be in for eight.
Do you know about that band coming to town?	Which band?
Did you encounter a lot of traffic coming here?	Only during rush hour.
Do you enjoy lakes and beaches?	Lakes are nice but beaches are the best.
Did you spend a lot of time building your career?	I got lucky early on.
Do you like the city so far?	I think it's my favorite of all the cities I've visited.
Do you prefer short stories over novels?	They don't tale as much time to read.
Will you still work in town at this new job?	Their office is out of town.
Do you want to rest before we catch up?	I'm feeling fine actually.
Have you ever played a bass guitar?	I've only played the keyboard.
Will you have along commute?	I can work from anywhere.
Hi neighbor, have you got any hobbies?	I like to walk and do gardneing
Have you played any sports?	I did Judo for a bit, but that's it.
Have you thoroughly thought this through?	I believe I have
Do you program code?	I am not very computer literate.
Would you like to go to the movies?	If you're paying I'll tag along.
Would you prefer a locally owned restaurant?	Either way, I'm easy.
Is your job challenging enough for you?	it usually is
Did you get all your projects finished?	I couldn't finish one but it's not due until Tuesday.
Did you grow up to be what you wanted to as a kid?	My original dreams have changed a lot.
Are you planning to drink?	It's the only plan I have.
Have you tried Sweetish Hill on 6th yet?	It sounds familiar.
Are you ready to enjoy the weekend?	I am more than ready.
Do you have any formal musical training?	I'm a self-taught musician.
Do you eat out for the weekends?	I never eat out anymore.
Do you spend a lot on food?	I have a tight budget for food.
Do you need a ride home?	Thanks, but I already have a ride.
Are we getting an end-of-year bonus?	I heard we won't be.
Do you like adventure stories?	Adventure stories are interesting
Can you afford the expensive rent?	I qualified for a raise.
Do you like spicy foods?	I often add hot sauce to my food.
Do you play guitar?	I can play a few chords.
Are you studying somewhere?	I study at the local University.
Is the building a high-rise?	It's only five stories.
Do you need to live next to a subway station?	It would make my commute much easier.
Are you glad it's Friday?	Friday is the best day of the week.
Are you interested in sporting events?	I'll play anything if it's fun enough.
Have you played any sports?	I was on the high school football team.
You want to crash a friend's house?	I had planned on visiting my mother.
Do you still live in our hometown?	I have moved to a new state.
Do you enjoy burgers and fries?	Only if they are home cooked.
Shall we head back to mine?	I think we should
How about booth seating?	Let's take it to go instead.
Do you follow the best sellers lists?	Not very often
Are willing to work  night shifts?	I won't work nghts
Do you work around here?	Not any more.
Do you like fiction?	My favorite stories are about medieval wizards and dragons.
Have you heard the latest music from Herb Alpert?	I'm not familiar with their work.
Did you have a good week at work?	It was exhausting.
Is making money important to you?	It's my number one priority.
Do you often eat out in restaurants?	When I can afford it.
Enjoy diner food?	When the food isn't too greasy.
Any ideas on exactly where you'd like to buy?	We have our hearts set on central.
Do you have family in the area?	My mum and dad live locally.
Are your parents doing good?	They are both very healthy.
Could you go for hamburgers?	Depends on the restaurant.
Have you heard the new Drake album yet?	I'm not a very big fan of his.
Does it feel strange to see me again?	It is always a pleasure to see an old friend!
Do you still live around here?	I moved a while ago
Have you ever been to a Taylor Swift's concert?	I haven't but I'd like to see one.
Would you like to get some fresh air in your free time?	I love going to the dog park.
Are you a fan of curry?	Curry upsets my stomach.
Do you have a cat	Cats don't mesh with my dogs.
Have you read the new Game of Thrones books?	I'm planning to read them in the future
Was that biography that you read any good?	I couldn't finish it.
Do you live here by yourself?	I have a friend living here.
Do you like to read romances?	I've never had the heart for it.
Did you enjoy your drive here?	It was quite pleasant.
Do you like asian food?	Only the non-spicy foods.
Have you seen the latest movies?	I'm not a fan of the cinema.
Will this be the first time for you living in NY?	It will be
Are you a fan of pop music?	I love pop music.
Do you still live in the same neighborhood?	It's been a while since I lived there.
Do you like outside concerts?	If we can take a picnic.
Would you like to try something you've never eaten before?	If it uses familiar ingredients.
Did you dance at the event?	We tore up the carpet.
Do you have a favorite author?	I like lots of writers
Does your son still enjoy going to high school ?	He's having a great time.
Have you been to any music concerts?	I recently went to a Thom Yorke concert.
Is the radio something you enjoy?	Radio stations play too many commercials.
Was your week okay?	My week was delightful.
Do you like techno music?	I prefer pop.
Have you enough money to afford this flat ?	I  certainly hope so
Have you played an instrument?	I have never played
Are you a fan of movie soundtracks?	I like the Top Gun soundtrack.
Do you get a little too excited about elves and wizards?	I can't say I do.
Are there young families in this neighborhood?	I don't really know my neighbors.
Do you want to do something now?	I'm free anytime.
Do you like Italian food?	Who doesn't?
Does your new apartment have a good view?	I like seeing the beach from here.
Is a good plot important?	That and good characters are most important.
Are going shopping?	I need to go pick up my kids.
Is your job stressful?	When there are tight deadlines.
Are you a vegetarian or vegan?	I am a vegetarian.
Have you ever read The Education?	That doesn't sound familiar.
Are you watching a film tonight?	It's my Mum's birthday.
Do you enjoy burgers and fries?	I don't particularly enjoy greasy foods.
Have you tried Ethiopian food?	I want to try African food someday.
Would you like to go ice skating?	I would love to see if I can still skate like I could as a child.
Will you stay here for a while?	I'm just passing through.
Have you read any books by Terry Pratchett?	I don't know who that it.
Hi, are you okay?	I have a cold.
Do you have a dog?	I used to, but he died a few years back.
Did you try the new brunch spot?	I went there yesterday.
Do you choose books based on reader reviews?	I only read five star novels.
Would you be happier in this role?	This is a better fit.
Are you happy with the money you make now?	I could use more money.
Do you eat here often?	about once a month
Did you finish putting everything away?	The room is spic and span now!
Do you need a ride anywhere?	I have a friend meeting me.
Are you looking for a job at the moment?	I've just started to look for work.
Do you like alcohol or wine with dinner?	I usually have water with dinner
Do you want to go for something to eat?	I'm starving and the cupboard is bare, so it sounds great.
Do you enjoy reading nonfiction?	If it's a well-told story.
Would you like to go eat some sushi?	I can't eat seafood.
Are you an avid reader?	I've often got my nose in a book.
Do you still play the piano?	I haven't played in years
Have you ever tried bulgolgi?	I've never heard of it.
Did you enjoy your journey?	I was able to sleep on the plane.
Do you need to be close to the subway?	I depend on the subway.
Do you meet up with friends on weekends?	I spend most of my time alone.
Are you staying long-term?	I plan to be here for at least five years.
Do you like basketball?	I do enjoy it
Is it time for breakfast?	I had it hours ago.
Are you always watching TV?	I prefer to listen to the radio.
Is your current job very stressful?	I haven't been able to take a deep breath since August.
Have you heard Taylor Swift's new song?	I don't listen to pop music.
Would you like to join me for a beer?	It would be nice to have a drink with you.
Have you ever ride a horse?	I saddle up every weekend.
Are you happy the work week is over?	I can't wait to sleep in over the weekend.
Do you mind having a room mate?	I prefer to live alone.
Did you live local before?	We were just down the street.
Do you like asian food?	It's my favorite cuisine.
Do you have any plans this evening?	I'm going to go for a run.
Do you enjoy American Food?	Nothing hard about American food.
Have any children?	I have a two year old.
Is it close to all the places you like?	Exploration will be required.
Do you like concerts?	If they are outdoors.
Did everything go okay today?	It was a problem free day.
Have you been to New York before?	We went on our honeymoon.
Would you like to exchange memories from the past?	I insist that you start first.
Do you want to live with a roommate?	I can't afford the house on my own.
Have you got enough savings to live for 6 months?	I can afford this
Are you looking for an older building?	I would prefer something more modern.
Are you allergic to garlic?	I'm only allergic to gluten.
Would you like to eat local cuisine?	Only if it's not too spicy.
Do you read newspapers?	I don't believe in newspapers.
Will it be expensive?	It's actually quite affordable.
Let's go to swimming?	I don't have a suit.
Would you like to watch a movie while we eat dinner?	That would be cool, let's see what's on Netflix.
Does your current position have growth potential?	There is room to grow.
Is classical music your favorite?	I prefer classic rock.
Do you like to work outside?	when the weather is nice
Do you like to have family in town?	I would prefer it
Have you gone down to the river?	Which river?
Are you into mysteries?	If I read at all it's mostly magazines.
Have you ever been to a live rock gig?	I only listen to folk music.
Do  you still live in Elm St?	I moved to Wood Avenue.
Are you offering the asking price?	I'm offering below asking price.
Things been good lately?	Some days are easier than others.
Do you like to visit museums?	I try to culture myself.
Have you spoken to your colleagues?	Only in the break room.
Do you make any music?	I am not that talented with regard to playing instruments.
Are you making more than 80 thousand dollars a year?	I make closer to 100,000
Are you taking any work home to do over the weekend?	I have packed my laptop and papers already.
Do you have a degree for your current job?	I don't have a degree at all.
Should we check out special events happening in the area during your stay?	Where would I find a list?
Do you use an e-reader?	When it's charged.
Are you new to town?	I was born here.
Did you spend a lot of time building your career?	I spend quite a bit of time doing that
Do you play sports?	I haven't been very physically active since high school.
Have you been to the art museum?	I've been meaning to visit.
Would you like to check out some bars tonight?	Bars really aren't my scene, especially now that I'm not drinking.
Do you feel you get paid enough?	I am worth more.
Are you into historical fiction?	Historical settings don't interest me much.
Would you like to get some coffee?	How about some tea instead?
Do you like football?	Only if it's a championship game.
Do you want to go to happy hour?	I would like that
Have you had Indian food recently?	It's been ages since we ate Indian.
Want to go to the movies?	sounds like a plan
do you want to do something for free?	If it looks like fun.
Do you like series of books?	I find book series too difficult to read.
Is it more than a one bedroom?	It's just one bedroom, which is enough for me.
Have you heard of Alt J?	I really haven't
Do you have any experience in the job your looking for?	I'm overqualified.
How is your family?	They're thriving.
Are you bringing any pets into the flat?	Having a pet with my busy job would be nearly impossible.
Have you been at your current job for at least two years?	It will be two years next month.
Are you into theater?	I like musicals.
Do you like living it here?	I love it so far
Do you like your company?	I don't believe in their mission statement or business practices.
Do you still drink?	I quit when the kids were born.
Do you have a car?	I don't even know how to drive.
Is your job still exciting and rewarding for you ?	I love my work.
Are you a bit too into stories about post-apocalyptic wastelands?	I could leave them.
Would you like to go the pub sometime?	If there are nachos involved.
Have you ever lived in a big city?	I lived in Chicago for two years.
Have you heard the latest Selena Gomez song?	I have better taste than that.
Am I the same as you thought I'd be now?	You've not changed a bit.
Are you still engaged?	actually we broke up
Do you like to garden?	I get someone else to handle that
Do you listen to classical?	I go to the symphony all the time.
Would you be interested in watching Joker?	I do not like action movies.
Do you want to switch fields?	I'd like to do something completely different.
Has it been six years since we last saw each other?	We saw each other in 1999.
Do you want to meet some of my friends?	I have enough friends in my life.
Have you ever lived in a quiet neighborhood?	My past building was quiet.
Do you like spice on your food?	I like jalepenos.
Have you read a lot of nonfiction?	I prefer to read made up stories.
Have you found a flat yet?	There's one I really like for sale in Brooklyn.
Was your flight okay?	No trouble at all.
Do you feel appreciated?	My boss treats me well.
Did you play an instrument at school?	I was a first chair flute player.
Is your mom doing OK?	she is doing great
Are you still married?	It's been 10 years!
Do you come here often?	I come here every week
Should the new company be located near home?	It is
Do you want to go out tonight?	Let's stay in.
Are you a college graduate?	NU, Class of 2016.
Are you worried about the cost?	The price isn't as high as you'd think
Would you go to a dance with me?	If you can teach me how.
Have you listened to music while cleaning?	I turn on a Spotify playlist.
Were you able to sleep during the travel?	I attempted to.
Have you kept in contact with anyone we used to know?	I speak to a few on a regular basis.
Do you need to be close to your job?	I would like to be close to my job
Do you get along with your coworkers?	I don;t really like them.
Do you enjoy trying unique dishes?	It depends on their taste and texture.
Are you going to relocate?	I will have to
Do you still live in the same house?	We do.
Do you work long hours?	They are not that long
Do you like any sports?	I play in a soccer team.
Are you watching any new TV shows?	I am enjoying the crown.
Are you happy working here at this job?	I feel very lucky.
Have you got the energy to party tonight?	I'm looking to stay in.
Are you into electronic music?	I jam to it every weekend.
Will you have along commute?	I think it will be quite fast.
Do you know what time you have to leave to head back home yet?	Nothing's set in stone yet.
Did you go to medical school?	I'm a qualified doctor now.
Have you been downtown to any of the museums?	I have not been to a museum in many years
Do you prefer to read fiction?	I only read fiction.
Have you ever been to New York?	I lived there as a child.
Did you grow up in this neighborhood?	Our hometown is far away.
Are you up for a hike tomorrow morning?	If you don't go too early.
Want to go to the movies?	I don't see anything good on.
Have you been to the new adventure park?	What is that?
Do you have a real estate agent that you're working with?	I have few I can use
Do you like food served at fast food restaurants?	Greasy foods give me acne.
Have you seen a live band in concert?	I saw the Foo Fighters last weekend at the O2 Arena.
Are you more into fancy restaurants?	Only for special occassions
Did you already eat?	I ate on the plane.
Do you eat here often?	This is my first time here in years.
Do you want to try something completely new?	I'll read what you recommend.
Do you play any sports?	I am a UFC fighter.
Can you afford to buy a flat in New York?	I cannot afford that.
Will you live in it?	I'll only stay there during the summer.
Have you read the book 'The Secret'?	I'm reading it now.
Have you read the Harry Potter books?	I've read all of them.
Are you well?	I'm feeling pretty good.
Is travelling something you enjoy?	Depends on the journey length
Do you like to dine-in or take-out?	I'll take out when I'm in a hurry.
Are you a vegetarian ?	I was never one
Are you into athletics?	I run a boxing gym.
Do you prefer to relax on the weekends?	When I've had a stressful week.
Do you have your keys?	I lost them.
Have you been to a live concert?	I've been to Glastonbury.
Are you planning on walking to work?	when the weather is nice
Want to go see a movie?	I'd rather go shopping.
Do you drink alcoholic beverages?	only some of the time
Do you have a limit of what you want to pay?	I can't pay more than 20% of my salary.
Did you read Lord of the Rings?	I've never had a chance to read it.
Does it have two bedrooms?	There are three bedrooms
You get that job?	I was successful in my interview.
Should we go out for a hot meal tonight?	It's pretty warm out; how about a salad instead?
Is it very tiring?	I'm exhausted most of the time.
Where would you like to go eat?	I want eggs and bacon.
is there an activity you really enjoy doing?\\	I'm a very keen basketweaver.
Did you move to Chattanooga?	We are just passing through.
Do you enjoy working in an office?	An office is okay, but I thrive working from home.
Is there a job waiting for you in New York?	I'd appreciate any job search advice.
do you like museums?	I'm never usually a fan
Are you into fantasy books?	Sometimes I write Harry Potter fanfiction.
You going out tonight?	I have to stay home with my kids.
Just bought the new Star Wars video game, you want to just stay in and game all weekend?	That sounds like a lot of fun!
Do you go to concerts?	Only when my sister comes to town.
Would you like to watch a movie while we eat dinner?	thats a good idea
Do you love fast life?	I like the option to go to a busy area but prefer quiet.
Do you like loud music?	I prefer it not too loud
Do you enjoy outdoor sports?	I prefer to swim and train indoors.
Do you want to hang out?	You could show me around.
Do you still like McDonald's?	Recently, I've been trying to eat healthier.
you don't like the company culture?	I like the live/work balance they offer.
Do you like solving crimes?	in my spare time I do
Do you want to stay in tonight?	I think I do
Does the flat's price fit your long-term budget?	I think so.
Do you like books about astrology?	Depends on the book.
Is it in a safe area?	Crime rates are low there.
Do you listen to music while you cook?	I like to have something playing in the background
Have you ever had allergies to food?	I've always had an affliction to nuts.
Do you dislike your current job?	I would change in a heartbeat.
Do you plan on going home?	That's exactly where I'm going.
Do you want to go solo?	I am not familiar with that term.
Do you know what neighborhood you want to live in?	Brooklyn is really nice.
What do you think of Shawarma?	It's usually too spicy for me.
Would you like to go to a classical concert?	I would rather go to a rock concert.
Are you a fan of international cuisine?	Sushi is my dream food.
Do you usually have to work late?	Only once every few days.
Do you like cats?	I'm a crazy cat lady.
Are you a sushi fan?	I like sashimi.
Are you going directly to your house?	I have some errands to do.
Have you had a chance to travel much?	I've been lucky enough to get to Europe and Hawaii.
Do you like books by Steven King?	I loved reading Misery and It.
Do you like whiskey?	Some brands are worth drinking.
Are you allergic to any seafood?	I have no allergies.
Are you a fan of comic books	I haven't read one in years.
How about visiting more often?	I've missed our visits.
Do you like to drink wine?	only at weekends
Have you checked the concerts happening in the area?	I haven't checked yet
Are you looking to earn more money?	I can always use more cash.
Do you work more than 8 hours?	Only when I get behind with the work.
Do you want to switch fields?	I am looking for a change.
Shall we go back to that same deli we tried last week?	I'd rather try a new place.
Do you like working in groups?	It depends on my mood
Did you go to college?	University of Kentucky.
Is Spotify on your phone?	I usually use the website.
Hey if you're up to it, would you like to hit the gym with me in the morning?	I could use the exercise.
Is reading crime fiction something you like to do?	I do often have those in my pile.
Was your move job related?	I moved so I'd have a shorter commute.
Is it time to relax?	I think it is
Are you studying somewhere?	I'm teaching at the University.
Do you like to sing?	At home alone!
Do you like spice on your food?	Only a little bit
Are your parents still living with you?	They moved to Florida.
Did you drive to work today?	I always take the train.
Is everything good?	Not the greatest.
Have you seen anyone else from back then recently?	Tim got married to my cousin.
Are you into musicals?	I love music.
Do you take a drink with your food	Usually water or juice
Have you found a place yet?	I keep getting outbid.
Is it stressful all the time?	Some days are easy.
Do you have any kids?	I wish I had kids.
Is the neighborhood good?	It's my favorite part of the city.
Have you lived here long?	I moved in recently.
What would you like to eat today?	There are an infinite number of answers.
is it cold outside?	I'm comfortable in shorts.
Are your parents still living in your childhood house?	They are.
Do you have family in the area?	They live right next to me
Do you enjoy Italian cuisine?	I could eat it every day.
Did you go to that Argentinian restaurant last weekend ?	I didn't feel good, so I stayed home.
Do you want to look through the museum?	Only if it still has that Egypt exhibit.
Do you have children?	Our kids are all grown up.
Are you a foodie?	Not really, but I do like to try new dishes at times.
Have you seen the prices there?	The research has just begun.
Looking forward to a couple days off?	Holidays are always good
Was the trip peaceful?	It was quite nice yes
Want to share a taxi back to Heswall ?	I'd prefer to get an uber.
Are you enjoying your job?	I have never been happier.
Want to grab a bite to eat?	How about a burger?
Is that your dream home?	If I do it up
Are you studying somewhere?	I'm a student of the local community college.
Are you buying or renting?	I'm renting.
Are you in on Monday?	Should be!
Did you sleep on your way here?	I slept a little bit
Would like to reconnect over dinner tomorrow?	Sorry, I have a big project at work and will be working late.
Are you looking for a novel?	Anything that's got good reviews
Do you want to go get drinks from the nearby bar?	Let's do that sometime.
Would like to read a fantasy novel?	Only if it has a strong female lead.
Have you found a good realtor?	No one trustworthy yet.
Have you seen any live performances lately?	There hasn't been anyone I want to see lately.
Did you get outside and enjoy the sunny weather last weekend?	I had to paint my kitchen.
Do you feel appreciated?	I feel taken for granted.
How about watching a movie?	I could see one Saturday night.
Want to lend a self help book?	I'd rather pick out a novel.
Are you enjoying the neighborhood?	It's got a great vibe.
Do you like all fresh ingredients?	The moldier the cheese, the better.
Have you talked to anyone else from our childhood?	Our other friend works with me.
Do you think you will get a promotion there?	They say I am next in line.
Do you get bored at your current job?	Daydreaming is how I manage.
Are you working this weekend?	I have to come in Sunday.
Does anyone else know you're here?	just my family
Are you quitting because of your boss?	That is one of many reasons.
Do you like the neighborhood so far	More than anything.
Have you found a good realtor?	I have found a few
Do you like rock and roll music?	I have to listen to rock every morning.
Have you had a chance to travel much?	I've traveled a lot for work.
Did you try the new brunch spot?	I haven't been there yet
Did you get through the airport ok?	I almost got stopped by the TSA.
Do you like your current job?	It's the best job I've had.
Want to take a roadtrip on Friday?	I already have plans.
Are you in contact with anyone else we need from our childhood?	We're all Facebook friends.
Heading home?	I'm stopping to get groceries on the way.
Does it include a parking spot?	It has two but we have to pay
Do you have your keys?	I gave them to you.
Have you been to college?	I have my MBA.
Do you enjoy arts & crafts?	When it's a quick project.
Is your favorite food Mexican?	Chinese is my favorite.
Do you prefer music with real instruments played?	Is there any other kind?
Can you afford an apartment?	I can pay for a studio.
Are you in the mood for ramen?	I could be
Do you want to meet up this weekend?	I think Saturday would work well.
Do you like to play at Open Mike sessions?	I dont have the confidence to play in front of people.
Do you deal with people all the time?	I spend all day dealing with people
Have you ever lived in a big city?	I've resided in many big cities.
Have you ever done karaoke?	Only when I'm really drunk.
Have you found a job up there?	I'm actually making a transfer from my current job.
Do you work with people?	I currently work alone.
Would you like to go see a movie?	That would be great.
do you like salads?	I like anything green and fresh.
Any pets?	Several cats.
Are you a Stephen King fan?	I don't like his style.
Do you want to go to happy hour?	I need to cut back on drinking for a while.
Do you like working with people?	I like a busy working environment.
Do you like heavy metal?	It's my favorite.
Do you need a lot of space?	I don't have much stuff.
Would your ideal weekend be spent outside of the house?	Isn't that everyone's ideal weekend?
The weather is supposed to be great, would you want to go and hike the greenbelt this weekend?	It depends on whether I have to work.
Would you like to live downtown?	Living downtown would be interesting.
Do you like buffets?	I love buffets
Did you drive to work today?	I always ride my bike.
Do you work alone?	I prefer to work with a group.
Where do you work?	I work in the city.
Will you be buying the latest Stephen King story ?	I can't wait to read The Outsider.
Have you played any sports?	Does badminton count?
Have you met up with anyone else we know?	Our friends were at the show.
Do you like karaoke?	When I am with close friends.
Have you been healthy lately?	I have been quite healthy
Did you finish the project on time?	We are weeks ahead of schedule.
Are you allergic to any seafood?	I come out in a rash when I have mussels.
Are you new in the neighborhood?	I just moved in.
Are you going to drive your car to work?	I am planning on commuting by public transport
Off to the pub?	I need to go to the bank first.
Are you interested in historical novels?	I prefer to visit historical sites
Are you into cycling?	I prefer walking
Can you see yourself living in a condo?	I see myself living in a stylish loft.
Is Mexican food too spicy for you?	Most of it is too spicy.
Did you recognise me straight away?	It took me a moment.
Are you ready to have fun?	Who isn't?
Are you going home now?	If my car starts.
Do you have a kindle?	I only read paperbacks.
Does your current position have growth potential?	The company isn't doing too well right now
Do you read everyday?	I try to keep up with whatever's popular.
Do you enjoy being shocked by an ending?	It's the best ending to a book.
Have you lived here very long?	Probably two years now.
Do you like techno music?	It's a bit too wild for me.
Shall we go out for a drink tonight?	Let's do it!
Do you hate crowds?	They're the worst.
Do you like a quiet meal?	I do prefer that
Are you going out to eat tonight?	I'll probably grab some takeout.
Do you have to do heavy-lifting?	There's really nothing to lift or move heavier than a ream of paper.
Do you like acoustic music?	Unlplugged rocks.
How about booth seating?	I'd prefer the bar.
Are you paying off the purchase with cash?	We wish that were possible.
are you married?	I am planning to get married next year
Did you and Jessica ever end up tying the knot?	We broke up after a year.
Want to extend this conversation over dinner tonight?	We should go to the Indian place.
Do you watch a lot of romance movies?	I only watch them with the girlfriend.
Want to go grab coffee and catch up?	I'm off coffee this week.
Do you get paid well at your job?	I make barely more than minimum wage.
Do you enjoy loud parties?	I prefer a good book.
Have you been to the old neighborhood in the last year?	I haven't had a chance to yet.
Have you ever tried anything humorous?	Funny writers are my favorite.
Are you up for a hike tomorrow morning?	That sounds good
How was your trip?	It went smoothly.
Have you read any fantasy novels?	I've been meaning to.
Is your job boring?	There are many repetitive tasks.
Hi neighbor, have you got any hobbies?	I like to play video games.
Do have family in New York?	My mom has a weekend place in the city.
Are you looking for roommates?	Jean wouldn't like that.
Have you been to any concerts recently?	The last one I went to was in Middle School.
Is the beach a place you like to spend time?	I love sunbathing on the beach.
Have you liked living in your house ?	It is very relaxing.
Have you ever tried daal from Tarka?	I've never had Indian food.
Are you going to a show this weekend?	I'm excited to see them play live.
Do you like being out on the water?	Boating is a blast.
Do you want to go to the movies this weekend?	I could catch a flick.
Can I get you a beer?	I'm not going to drink tonight.
Are you concerned about your salary?	I'd rather make more than I'm currently earning.
Want to read this new crime detective book?	That's not my kind of thing.
Did you enjoy today?	My mood has improved ten fold.
Are you still in touch with any childhood friends?	I don't see anyone
Have you seen the new Star Wars movie yet?	Only three times.
Does your work keep you interested?	I love the challenge of my work.
You have any kids?	I had twins a few years ago.
Are you ready for the weekend?	I haven't even thought about it yet.
Do you have any family close by?	Everyone lives across the country.
Do you have family around here?	My family is all out of state.
Would you like to go for some food?	I'm starving!
Did you watch Stephen King's IT?	I couldn't stomach it.
Any fun plans this weekend?	I am going mountaineering on Sunday in the Lakes.
Do you have family that will live here too?	My family have stayed in the other house.
Do you like going to the gym at the weekend ?	It's too crowded at the gym on the weekend.
Is it close to your house?	It is 30 min. away.
Do you like to eat at restaurants where they have a prix fix menus?	I love trying new things!
Did you like the Harry Potter series?	I haven't read any
Are you allergic to anything?	Not that I know of.
Have you read any books by Terry Pratchett?	I don't know that writer.
Did you come here by car?	I drove here in my car
Are you enjoying the neighborhood?	I feel very comfortable here.
Do you think you will get a promotion there?	That's my plan.
Did your week go well?	It was tiring.
Want to go dancing tonight?	Depends where you want to go.
Do you enjoy haunted places?	I don't like to be scared.
Are you into young adult novels?	I am no longer an young adult haha.
Have you decided if you are coming to the pub with us?	I'll come for a little while.
I have tickets to an EDM music fest, does that sound like something you would want to do	I've always wanted to go
Do you work full time	it's part time right now
Do you know the neighbourhood?	I lived here when I was a child.
Have you ever been rock-climbing?	I'm too scared of heights.
Are you getting a flat in the city?	I'm getting a flat in Manhattan.
How you seen the scooter rentals?	I wonder how they work.
Do you prefer fiction?	I am open to reading anything highly rated.
Have you ever tried a job outdoors?	I wouldn't enjoy being outside all day.
Are you ready for the weekend?	I'm packed and ready to go.
Do you like reuben sandwiches?	With lots of sauce!
Will it be expensive?	Not too expensive
Are you a fan of curry?	I love spicy food
Are you fit and healthy?	I lost 40 pounds last year.
Are you working here?	I work close by
Are you available to move in April?	I'm ready to go anytime.
Did you move back?	I'm happy living out of town.
Want to go to an electronic show this weekend?	I'd rather go to a club.
Do you like to party a lot?	I'm much too old for that.
Are you working with the government?	I'm in the private sector.
Do you like any new song playing on the radio?	I try to avoid new music.
Do you enjoy art?	I like other things more
Have you been to Torchys?	I want to check them out.
Do you have any experience in the job your looking for?	It's very similar to my current job.
do you like doing solo activities?	I'd rather play on a team.
Are you a fan of meat?	If it's white meat.
Is a full-time role what you think you'd like?	that would be better
Do you watch documentaries very often?	I often watch nature documentaries.
Have you read Fifty Shades of Gray?	I've only seen the movie version.
Do you like a place with lots of people and activity?	I prefer peace and quiet.
Are you allergic to cats?	I don't believe so
Do you still live with your grandparents?	Unfortunately they have passed away.
Were you born in this area?	I was born in another state.
Have you been to Japan?	I haven't been yet
How you seen the scooter rentals?	I passed a booth on the way here.
Do you like romantic stories?	I like a few of them
Do your family still live here?	We all stay in the same neighborhood
Do you like to do repetitive work?	I'm not a fan of busywork.
Will you have better benefits at the new job?	They're be about the same.
Have you read about the city?	I've read practically everything that's been written about New York.
Do you like rock and roll music?	I love rock.
Did you enjoy the trip?	It was without incident.
Have you ever played any group sports?	I played soccer in high school.
Did you have a good day today?	I couldn't get ahead.
Do you have diabetes?	I am quite healthy.
Do you feel like having a warm meal?	I've been cold all day.
Do you travel any?	I never get to go anywhere.
Do you prefer horror?	It's my favourite genre
Did you marry your high school boyfriend?	He left me for a woman in Vietnam.
Have you liked living in your house ?	It's great, I love sitting on my porch.
Can you give me a ride home?	I didn't drive to work today.
Do you have a cat	I'm allergic to animals.
Have you ever read any of the classics?	I have read a few of them
Do you enjoy playing any sports?	I prefer to watch them with a beer in hand.
Would you like working in a factory?	I like repetative work.
Are you interested in going to a Brazilian steakhouse?	That would be great.
Do you work?	I am self employed.
Are you financially stable?	I am getting there
Would you like to meet up with our old friends?	I'm looking forward to seeing them.
Did you get everything finished?	I have so much to do.
Do you prefer to read hardbacks ?	I don't mind
Are you sure this is something that you want to do?	I'm in two minds about the move.
Do you want something quick?	A quesadilla would be nice.
Do you have family that live near here?	My folks are in Florida.
Do you ever go hiking?	Every weekend we go somewhere.
Do you have friends that live around here?	I wouldn't call them friends, more like acquaintances.
Have you ever been to the fair?	I have been to a few
Is that your car I saw?	it was indeed my car
Have you seen the new Frozen movie?	That movie was so overrated.
Do you have a pet?	I walk my dog every morning.
Do you want to go see some flats now?	I want to start tomorrow,
Have you been to the cinema lately?	I saw Star Wars.
Do you like slow songs?	When I have someone special to dance with.
Are you into team sports?	When my team is cooperative.
Are you a non fiction lover ?	I read cooking books at bedtime.
Do you make over $100,000 a year?	I make double that.
Have you played an instrument?	I did when younger
Are you familiar with Thai food?	I eat Thai food often.
Are you a fan of Korean food?	I eat it a lot.
Is your house nearby?	My flat is located Downtown.
Do you eat raw fish?	I eat sushi all the time.
Are you ready to enjoy the weekend?	I am so glad the working week is over.
Want to go dancing tonight?	I broke my leg.
Are you working nearby?	My office is right around the corner.
Do you want a place close to home?	I'm up for a road trip.
Is it time for breakfast?	I'll eat breakfast any time.
Do you like this area of town?	I am not familiar with this area.
Are you interested in the Bronx?	Even though I know the Bronx is newly gentrified, I prefer to live in the Village.
Are community gatherings important?	I'd like to get involved in the community.
Do you like heavier music?	I like smooth jazz.
Do you like to play a instrument?	Piano is relaxing.
